N,P,K,temperature,humidity,ph,rainfall,label,yield,fertilizer
90,42,43,20.87974371,82.00274423,6.502985292000001,202.9355362,rice,71.19942820627362,DAP
85,58,41,21.77046169,80.31964408,7.038096361,226.6555374,rice,81.62019870524915,DAP
60,55,44,23.00445915,82.3207629,7.840207144,263.9642476,rice,80.47312983471406,Gypsum
74,35,40,26.49109635,80.15836264,6.980400905,242.8640342,rice,75.17819600672037,DAP
78,42,42,20.13017482,81.60487287,7.628472891,262.7173405,rice,75.48556318207437,Gypsum
69,37,42,23.05804872,83.37011772,7.073453503,251.0549998,rice,71.57202984281201,DAP
69,55,38,22.70883798,82.63941394,5.70080568,271.3248604,rice,75.419511225682,Lime
94,53,40,20.27774362,82.89408619,5.718627177999999,241.9741949,rice,83.88286775044935,Lime
89,54,38,24.51588066,83.53521629999999,6.685346424,230.4462359,rice,78.98599716203208,DAP
68,58,38,23.22397386,83.03322691,6.336253525,221.2091958,rice,74.83826325371045,DAP
91,53,40,26.52723513,81.41753846,5.386167788,264.6148697,rice,78.65047792515801,Lime
90,46,42,23.97898217,81.45061596,7.50283396,250.0832336,rice,85.07996846861995,Gypsum
78,58,44,26.80079604,80.88684822,5.108681786,284.4364567,rice,88.4249616069042,Lime
93,56,36,24.01497622,82.05687182,6.98435366,185.2773389,rice,68.96982979478275,DAP
94,50,37,25.66585205,80.66385045,6.94801983,209.5869708,rice,71.78146851657101,DAP
60,48,39,24.28209415,80.30025587,7.042299068999999,231.0863347,rice,68.06157516588434,DAP
85,38,41,21.58711777,82.7883708,6.2490506560000005,276.65524589999995,rice,79.76561576999536,DAP
91,35,39,23.79391957,80.41817957,6.970859754,206.2611855,rice,71.95358101842238,DAP
77,38,36,21.8652524,80.1923008,5.953933276,224.55501690000003,rice,70.60154803282117,Lime
88,35,40,23.57943626,83.58760316,5.85393208,291.2986618000001,rice,82.05188442598045,Lime
89,45,36,21.32504158,80.47476396,6.442475375,185.4974732,rice,70.03950178747378,DAP
76,40,43,25.15745531,83.11713476,5.070175667,231.3843163,rice,70.34057140857041,Lime
67,59,41,21.94766735,80.97384195,6.012632591,213.3560921,rice,69.51890611900218,DAP
83,41,43,21.0525355,82.67839517,6.254028451,233.1075816,rice,74.14095300758692,DAP
98,47,37,23.48381344,81.33265073,7.375482851,224.0581164,rice,76.95738614682037,DAP
66,53,41,25.0756354,80.52389148,7.778915154,257.0038865,rice,80.42913255003015,Gypsum
97,59,43,26.35927159,84.04403589,6.2865001760000006,271.35861370000003,rice,84.3838356509836,DAP
97,50,41,24.52922681,80.54498576,7.070959995,260.2634026,rice,83.79992003038612,DAP
